name,city,build_in,capacity
State Farm Arena,Atlanta ,1999,18118
TD Garden,Boston,1995,18624
Barclays Center,Brooklyn,2012,17732
Spectrum Center,Charlotte,2005,19077
United Center,Chicago,1994,20917
Rocket Mortgage FieldHouse,Cleveland,1994,20562
American Airlines Center,Dallas,2001,19200
Pepsi Center,Denver,1999,19155
Little Caesars Arena,Detroit,2017,20491
Chase Center,San Francisco,2019,18064
Toyota Center,Houston,2003,18055
Bankers Life Fieldhouse,Indianapolis,1999,18165
Staples Center,Los Angeles,1999,19067
FedExForum,Memphis,2004,18119
American Airlines Arena,Miami,1999,19600
Fiserv Forum,Milwaukee,2018,17500
Target Center,Minneapolis,1990,19356
Smoothie King Center,New Orleans,1999,16867
Madison Square Garden,New York,1968,19812
Chesapeake Energy Arena,Oklahoma City,2002,18203
Amway Center,Orlando,2010,18846
Wells Fargo Center,Philadelphia,1996,20478
Talking Stick Resort Arena,Phoenix,1992,18055
Moda Center,Portland,1995,19441
Golden 1 Center,Sacramento,2016,17500
AT&T Center,San Antonio,2002,18418
Scotiabank Arena,Toronto,1999,19800
Vivint Smart Home Arena,Salt Lake City,1991,19911
Capital One Arena,Washington,1997,20356
